Container,Name,CPU %,Memory Usage,Sclae
166ed8cd90d0,oneshot-parking-1,0.00%,36.74MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.52%,36.79MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.96%,37.08MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.05%,37.12MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.06%,37.13MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.06%,37.26MiB / 50MiB , Up
166ed8cd90d0,oneshot-parking-1,1.13%,37.25MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.95%,37.27MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.13%,37.27MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.08%,37.35MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,1.16%,37.34MiB / 50MiB , Up
166ed8cd90d0,oneshot-parking-1,1.08%,37.33MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.34MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , Down
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , Down
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.01%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
166ed8cd90d0,oneshot-parking-1,0.00%,37.31MiB / 50MiB , NO
